,Input.percentA,Input.percentB,Input.prizeA,Input.prizeB,Choice,A?
0,98,10,102,1000,A,True
1,98,10,102,1000,A,True
2,98,10,102,1000,A,True
3,98,10,102,1000,B,False
4,98,10,102,1000,B,False
5,98,10,102,1000,A,True
6,98,10,102,1000,A,True
7,98,10,102,1000,A,True
8,98,10,102,1000,A,True
9,70,90,143,111,B,False
10,70,90,143,111,B,False
11,70,90,143,111,B,False
12,70,90,143,111,B,False
13,70,90,143,111,A,True
14,70,90,143,111,B,False
15,70,90,143,111,B,False
16,70,90,143,111,A,True
17,70,90,143,111,A,True
18,1,2,10000,5000,A,True
19,1,2,10000,5000,A,True
20,1,2,10000,5000,A,True
21,1,2,10000,5000,A,True
22,1,2,10000,5000,A,True
23,1,2,10000,5000,A,True
24,1,2,10000,5000,A,True
25,1,2,10000,5000,B,False
26,1,2,10000,5000,A,True
27,1,2,10000,5000,A,True
28,1,99,10000,101,B,False
29,1,99,10000,101,B,False
30,1,99,10000,101,B,False
31,1,99,10000,101,B,False
32,1,99,10000,101,A,True
33,1,99,10000,101,B,False
34,1,99,10000,101,B,False
35,1,99,10000,101,B,False
36,1,99,10000,101,B,False
37,1,99,10000,101,B,False
38,1,98,10000,102,B,False
39,1,98,10000,102,B,False
40,1,98,10000,102,B,False
41,1,98,10000,102,A,True
42,1,98,10000,102,B,False
43,1,98,10000,102,B,False
44,1,98,10000,102,B,False
45,1,98,10000,102,B,False
46,1,98,10000,102,B,False
47,1,98,10000,102,A,True
48,1,5,10000,2000,B,False
49,1,5,10000,2000,A,True
50,1,5,10000,2000,A,True
51,1,5,10000,2000,B,False
52,1,5,10000,2000,A,True
53,1,5,10000,2000,A,True
54,1,5,10000,2000,A,True
55,1,5,10000,2000,A,True
56,1,5,10000,2000,A,True
57,1,5,10000,2000,A,True
58,1,10,10000,1000,B,False
59,1,10,10000,1000,B,False
60,1,10,10000,1000,A,True
61,1,10,10000,1000,B,False
62,1,10,10000,1000,B,False
63,1,10,10000,1000,A,True
64,1,10,10000,1000,A,True
65,1,10,10000,1000,B,False
66,1,10,10000,1000,A,True
67,1,10,10000,1000,B,False
68,1,20,10000,500,A,True
69,1,20,10000,500,A,True
70,1,20,10000,500,B,False
71,1,20,10000,500,B,False
72,1,20,10000,500,A,True
73,1,20,10000,500,B,False
74,1,20,10000,500,A,True
75,1,20,10000,500,B,False
76,1,20,10000,500,B,False
77,1,20,10000,500,B,False
78,1,25,10000,400,A,True
79,1,25,10000,400,B,False
80,1,25,10000,400,B,False
81,1,25,10000,400,B,False
82,1,25,10000,400,B,False
83,1,25,10000,400,A,True
84,1,25,10000,400,B,False
85,1,25,10000,400,B,False
86,1,25,10000,400,B,False
87,1,25,10000,400,A,True
88,1,30,10000,333,A,True
89,1,30,10000,333,B,False
90,1,30,10000,333,B,False
91,1,30,10000,333,B,False
92,1,30,10000,333,A,True
93,1,30,10000,333,B,False
94,1,30,10000,333,B,False
95,1,30,10000,333,B,False
96,1,30,10000,333,B,False
97,1,30,10000,333,B,False
98,1,40,10000,250,A,True
99,1,40,10000,250,B,False
100,1,40,10000,250,B,False
101,1,40,10000,250,B,False
102,1,40,10000,250,B,False
103,1,40,10000,250,B,False
104,1,40,10000,250,B,False
105,1,40,10000,250,B,False
106,1,40,10000,250,A,True
107,1,40,10000,250,B,False
